Trail Blazers,Lakers,Trail Blazers
Hornets,Hawks,Hornets
Wizards,Cavaliers,Wizards
Jazz,Pelicans,Jazz
Timberwolves,Thunder,Timberwolves
Kings,Warriors,Warriors
Pacers,76ers,76ers
Raptors,Heat,Raptors
Magic,Knicks,Knicks
Jazz,Rockets,Rockets
Celtics,Bulls,Bulls
Nets,Grizzlies,Grizzlies
Spurs,Timberwolves,Spurs
Nuggets,Trail Blazers,Trail Blazers
Pistons,Wizards,Wizards
Marvericks,Pelicans,Pelicans
Clippers,Thunder,Thunder
Warriors,Suns,Suns
Magic,Cavaliers,Cavaliers
Hawks,Pistons,Hawks
Nets,Bucks,Bucks
Hornets,Knicks,Knicks
76ers,Raptors,Raptors
Pacers,Bulls,Bulls
Spurs,Timberwolves,Timberwolves
Rockets,Jazz,Jazz
Heat,Trail Blazers,Heat
Lakers,Nuggets,Nuggets